TEMPO;LOAD;FIO2;FEO2;FECO2;FETO2;FETCO2;VE;TI;TE;HR;VO2
318.0;100;20.84;14.4153846153846;5.22051282051282;13.18;6.1;28.3993007209719;2.107;2.096;82;1482.50107641278
322.0;100;20.83;14.5;5.18181818181818;13.25;6.08;29.8078217919564;1.936;2.13;82;1532.0247641589
328.0;100;20.82;14.5419479267117;5.17357762777242;13.3;6.07;31.2152634612961;1.809;2.258;84;1591.85788817465
332.0;100;20.81;14.5429740791269;5.19326966803092;13.3;6.07;32.6787821024033;1.706;2.413;87;1665.92156142182
339.0;100;20.81;14.3875838926175;5.29362416107383;13.13;6.14;32.4789707131554;1.875;2.618;89;1704.3350264321
343.0;100;20.83;14.2301649646504;5.37313432835821;12.94;6.22;32.78171324859;2.023;2.731;91;1775.47443335161
349.0;100;20.86;14.0307242136064;5.47549378200439;12.72;6.31;32.826993127852;2.28;2.818;93;1849.09737801775
354.0;100;20.87;13.8570417551309;5.54847841472045;12.53;6.38;33.2916592042076;2.431;2.765;94;1932.88559046717
359.0;100;20.88;13.6620209059233;5.63414634146342;12.31;6.47;33.1340557380188;2.574;2.728;95;1986.27166152223
362.0;100;20.87;13.5298320828867;5.6734548052876;12.17;6.52;33.6933634211992;2.492;2.593;96;2057.27215957262
366.0;100;20.86;13.4554781971418;5.69805789666545;12.08;6.56;34.2377441866123;2.384;2.495;95;2109.74907490493
371.0;100;20.84;13.4756554307116;5.67790262172285;12.08;6.57;36.0543746637201;2.115;2.418;95;2207.84498759225
375.0;100;20.84;13.571160345475;5.64401051445738;12.12;6.58;37.5244015744962;1.916;2.428;93;2263.41946582893
380.0;100;20.83;13.7300111565638;5.59687616214206;12.25;6.57;38.9579875152697;1.748;2.477;92;2288.58402804834
385.0;100;20.83;13.8762811127379;5.57833089311859;12.39;6.56;39.1363417116935;1.745;2.528;92;2244.55990457215
390.0;100;20.83;13.959683225342;5.60115190784737;12.52;6.55;38.0414571059738;1.887;2.583;92;2148.88736977408
396.0;100;20.84;14.0034965034965;5.65034965034965;12.61;6.56;36.6167432261784;2.121;2.66;92;2054.35321312973
401.0;100;20.83;13.9743144741409;5.72023602915654;12.63;6.59;35.0736056279742;2.35;2.678;92;1970.73067440073
406.0;100;20.82;13.8809034907598;5.8145106091718;12.59;6.64;34.1988063380081;2.571;2.659;93;1945.00311384555
410.0;100;20.81;13.8005578800558;5.87866108786611;12.55;6.68;33.6117826328264;2.668;2.555;94;1929.86644637032
414.0;100;20.81;13.7879858657244;5.89399293286219;12.56;6.68;34.1134909193598;2.616;2.462;94;1961.99819476162
418.0;100;20.81;13.894034827714;5.82808447573175;12.66;6.64;35.0987064819697;2.367;2.34;95;1982.92456921846
421.0;150;20.83;14.0370513315322;5.75067541489772;12.79;6.6;36.193240186575;2.118;2.264;95;2003.07027002651
424.0;150;20.84;14.239175257732;5.64536082474227;12.96;6.53;37.1279848585631;1.842;2.156;94;1986.77589736508
427.0;150;20.86;14.4223279965383;5.56036347901341;13.12;6.47;37.9553480161807;1.633;2.094;94;1971.26062741985
431.0;150;20.86;14.5738893925657;5.48504079782412;13.25;6.42;38.8806171583158;1.453;2.02;93;1963.41113684086
434.0;150;20.87;14.6243042671614;5.48237476808905;13.32;6.4;38.9872415355237;1.42;1.965;93;1951.89875022308
438.0;150;20.87;14.633809304468;5.49055734684477;13.34;6.39;39.4332296248287;1.439;1.931;94;1969.60872763448
442.0;150;20.87;14.6237533998187;5.50317316409792;13.33;6.4;39.7738979059885;1.472;1.923;95;1990.73845021522
446.0;150;20.87;14.5665499124343;5.52977232924693;13.27;6.43;39.9448210937259;1.542;1.958;97;2022.28664938406
450.0;150;20.87;14.4510385756677;5.58287409919457;13.13;6.5;39.593564578466;1.62;2.027;99;2047.59724482858
454.0;150;20.86;14.2857142857143;5.64953460137596;12.94;6.58;39.5227093269328;1.733;2.094;101;2103.26809097363
458.0;150;20.86;14.1476826394344;5.69128043990573;12.75;6.66;39.8069641848778;1.788;2.127;102;2172.07151055943
462.0;150;20.86;14.0084388185654;5.74990410433448;12.59;6.73;39.7158191018811;1.913;2.105;104;2219.57445045736
466.0;150;20.85;13.8800904977376;5.80693815987934;12.45;6.79;40.1614732471878;1.99;2.052;105;2288.893803108
469.0;150;20.85;13.7989652623799;5.85735402808574;12.38;6.83;41.1012633552514;2.05;1.98;106;2373.71850583794
473.0;150;20.84;13.7833827893175;5.86795252225519;12.36;6.85;42.5324683409913;1.956;1.924;107;2457.40429250343
477.0;150;20.83;13.8173041217973;5.8670627552915;12.39;6.85;43.643723303008;1.881;1.896;108;2503.33337926009
480.0;150;20.82;13.8780852655198;5.84891548242334;12.43;6.86;44.5385921126775;1.743;1.932;108;2524.14856021983
485.0;150;20.81;13.933284457478;5.85043988269795;12.47;6.87;45.3516410838184;1.682;2;108;2542.92705086
488.0;150;20.8;13.9737513671163;5.84761210353627;12.5;6.88;45.5391683505681;1.629;2.058;108;2531.06362846019
491.0;150;20.8;14.0085744908896;5.86280814576635;12.56;6.88;45.7125808422619;1.684;2.064;107;2525.11248243093
495.0;150;20.79;14.0609318996416;5.8494623655914;12.65;6.86;46.1816793547979;1.672;2.026;106;2524.6467242997
