TEMPO;LOAD;FIO2;FEO2;FECO2;FETO2;FETCO2;VE;TI;TE;HR;VO2
7.0;50;20.83;16.2928348909657;4.54828660436137;15.18;5.57;20.2050834413829;1.7;2.19;68;687.042940731434
10.0;50;20.82;16.3837312113174;4.42970822281167;15.32;5.41;18.9625176429011;1.558;2.093;69;625.304438757272
12.0;50;20.81;16.4109848484848;4.40340909090909;15.35;5.38;18.4162850165194;1.546;1.964;69;598.237401423457
14.0;50;20.78;16.4777777777778;4.3;15.39;5.33;17.1893597737865;1.425;1.78;71;538.235917415874
17.0;50;20.75;16.4705882352941;4.29065743944637;15.31;5.41;17.6259919668669;1.324;1.687;73;545.775540242096
19.0;50;20.72;16.4611590628853;4.25400739827374;15.23;5.47;18.1182195210111;1.183;1.557;75;554.455570256046
22.0;50;20.71;16.3443396226415;4.32783018867925;15.1;5.58;20.0885490056707;1.104;1.48;77;635.073535481711
25.0;50;20.7;16.2087912087912;4.41758241758242;14.97;5.68;22.3441758025747;1.056;1.437;79;734.975945493829
28.0;50;20.72;16.1152416356877;4.49814126394052;14.85;5.76;25.2745298578854;1.054;1.552;80;866.819651763667
33.0;50;20.75;16.1883408071749;4.46188340807175;14.89;5.72;28.2425132660271;1.138;1.762;80;973.994165871865
38.0;50;20.78;16.2261753494282;4.47268106734435;14.95;5.67;28.9338163396821;1.382;1.948;81;1004.44391581984
42.0;50;20.79;16.2714776632302;4.46162657502864;15.01;5.63;28.5236942261735;1.629;2.118;81;986.850612876792
47.0;50;20.81;16.2402234636872;4.50279329608939;14.99;5.66;27.0213721206259;1.827;2.228;81;947.45261105408
50.0;50;20.81;16.2047857540345;4.52977184195882;14.91;5.7;26.0047651275937;1.922;2.308;82;919.214450433812
53.0;50;20.81;16.0655737704918;4.61445051608986;14.75;5.79;24.2351378551018;1.901;2.259;82;881.250616726711
56.0;50;20.81;15.8932238193018;4.67488021902806;14.53;5.89;23.0496171499295;1.722;2.158;82;867.134706844097
60.0;50;20.81;15.6033820138355;4.78862413528055;14.3;5.98;22.1156343594546;1.572;2.029;81;883.088422879426
63.0;50;20.81;15.434439178515;4.826224328594;14.12;6.04;22.5606802403143;1.465;1.97;81;934.228229973241
66.0;50;20.81;15.2276295133438;4.90580847723705;13.97;6.08;23.1137055086385;1.476;1.898;79;1001.12957187335
70.0;50;20.8;15.0952018278751;4.94287890327494;13.87;6.11;24.1070659776232;1.462;1.872;78;1073.37854513817
74.0;50;20.8;15.050916496945;5.00339443312967;13.83;6.11;26.0975609790815;1.566;1.889;78;1178.2448814089
79.0;50;20.8;15.0679012345679;5.01851851851852;13.85;6.11;27.2282857042763;1.666;1.976;78;1230.36332613656
82.0;50;20.8;15.1180195739781;5.02014968336212;13.92;6.08;28.3312985037896;1.739;2.014;78;1270.85148936749
85.0;50;20.78;15.1925254813137;4.99433748584371;14;6.06;28.6364362032155;1.735;2.04;79;1261.14381384359
